,user,Gender,Age,Income,Kmean cluster,Ad,Ad category,Ad type,Cat_rating,Feedback,OCEAN cluster
0,U0001,F,62,1,6,Cat1_1,1,Text,1,Neg,6
120,U0001,F,62,1,6,Cat1_2,1,Text,1,Neg,6
240,U0001,F,62,1,6,Cat1_3,1,Text,1,Neg,6
360,U0001,F,62,1,6,Cat1_4,1,Text,1,Neg,6
480,U0001,F,62,1,6,Cat1_5,1,Text,1,Neg,6
600,U0001,F,62,1,6,Cat1_6,1,Image,3,Neg,6
720,U0001,F,62,1,6,Cat1_7,1,Image,1,Neg,6
840,U0001,F,62,1,6,Cat1_8,1,Image,1,Neg,6
960,U0001,F,62,1,6,Cat1_9,1,Image,1,Neg,6
1080,U0001,F,62,1,6,Cat1_10,1,Image,1,Neg,6
1200,U0001,F,62,1,6,Cat1_11,1,Rich Media,1,Neg,6
1320,U0001,F,62,1,6,Cat1_12,1,Rich Media,1,Neg,6
1440,U0001,F,62,1,6,Cat1_13,1,Rich Media,1,Neg,6
1560,U0001,F,62,1,6,Cat1_14,1,Rich Media,1,Neg,6
1680,U0001,F,62,1,6,Cat1_15,1,Rich Media,1,Neg,6
1800,U0001,F,62,1,6,Cat2_1,2,Text,1,Neg,6
1920,U0001,F,62,1,6,Cat2_2,2,Text,1,Neg,6
2040,U0001,F,62,1,6,Cat2_3,2,Text,1,Neg,6
2160,U0001,F,62,1,6,Cat2_4,2,Text,1,Neg,6
2280,U0001,F,62,1,6,Cat2_5,2,Text,1,Neg,6
2400,U0001,F,62,1,6,Cat2_6,2,Image,1,Neg,6
2520,U0001,F,62,1,6,Cat2_7,2,Image,1,Neg,6
2640,U0001,F,62,1,6,Cat2_8,2,Image,1,Neg,6
2760,U0001,F,62,1,6,Cat2_9,2,Image,1,Neg,6
2880,U0001,F,62,1,6,Cat2_10,2,Image,1,Neg,6
3000,U0001,F,62,1,6,Cat2_11,2,Rich Media,1,Neg,6
3120,U0001,F,62,1,6,Cat2_12,2,Rich Media,1,Neg,6
3240,U0001,F,62,1,6,Cat2_13,2,Rich Media,1,Neg,6
3360,U0001,F,62,1,6,Cat2_14,2,Rich Media,1,Neg,6
3480,U0001,F,62,1,6,Cat2_15,2,Rich Media,1,Neg,6
3600,U0001,F,62,1,6,Cat3_1,3,Text,2,Neg,6
3720,U0001,F,62,1,6,Cat3_2,3,Text,1,Neg,6
3840,U0001,F,62,1,6,Cat3_3,3,Text,1,Neg,6
3960,U0001,F,62,1,6,Cat3_4,3,Text,1,Neg,6
4080,U0001,F,62,1,6,Cat3_5,3,Text,3,Neg,6
4200,U0001,F,62,1,6,Cat3_6,3,Image,1,Neg,6
4320,U0001,F,62,1,6,Cat3_7,3,Image,1,Neg,6
4440,U0001,F,62,1,6,Cat3_8,3,Image,1,Neg,6
4560,U0001,F,62,1,6,Cat3_9,3,Image,1,Neg,6
4680,U0001,F,62,1,6,Cat3_10,3,Image,1,Neg,6
4800,U0001,F,62,1,6,Cat3_11,3,Rich Media,1,Neg,6
4920,U0001,F,62,1,6,Cat3_12,3,Rich Media,1,Neg,6
5040,U0001,F,62,1,6,Cat3_13,3,Rich Media,1,Neg,6
5160,U0001,F,62,1,6,Cat3_14,3,Rich Media,1,Neg,6
5280,U0001,F,62,1,6,Cat3_15,3,Rich Media,1,Neg,6
5400,U0001,F,62,1,6,Cat4_1,4,Text,1,Neg,6
5520,U0001,F,62,1,6,Cat4_2,4,Text,1,Neg,6
5640,U0001,F,62,1,6,Cat4_3,4,Text,1,Neg,6
5760,U0001,F,62,1,6,Cat4_4,4,Text,3,Neg,6
5880,U0001,F,62,1,6,Cat4_5,4,Text,1,Neg,6
6000,U0001,F,62,1,6,Cat4_6,4,Image,1,Neg,6
6120,U0001,F,62,1,6,Cat4_7,4,Image,1,Neg,6
6240,U0001,F,62,1,6,Cat4_8,4,Image,1,Neg,6
6360,U0001,F,62,1,6,Cat4_9,4,Image,1,Neg,6
6480,U0001,F,62,1,6,Cat4_10,4,Image,1,Neg,6
6600,U0001,F,62,1,6,Cat4_11,4,Rich Media,1,Neg,6
6720,U0001,F,62,1,6,Cat4_12,4,Rich Media,2,Neg,6
6840,U0001,F,62,1,6,Cat4_13,4,Rich Media,2,Neg,6
6960,U0001,F,62,1,6,Cat4_14,4,Rich Media,2,Neg,6
7080,U0001,F,62,1,6,Cat4_15,4,Rich Media,1,Neg,6
7200,U0001,F,62,1,6,Cat5_1,5,Text,1,Neg,6
7320,U0001,F,62,1,6,Cat5_2,5,Text,1,Neg,6
7440,U0001,F,62,1,6,Cat5_3,5,Text,1,Neg,6
7560,U0001,F,62,1,6,Cat5_4,5,Text,1,Neg,6
7680,U0001,F,62,1,6,Cat5_5,5,Text,1,Neg,6
7800,U0001,F,62,1,6,Cat5_6,5,Image,1,Neg,6
7920,U0001,F,62,1,6,Cat5_7,5,Image,1,Neg,6
8040,U0001,F,62,1,6,Cat5_8,5,Image,1,Neg,6
8160,U0001,F,62,1,6,Cat5_9,5,Image,1,Neg,6
8280,U0001,F,62,1,6,Cat5_10,5,Image,1,Neg,6
8400,U0001,F,62,1,6,Cat5_11,5,Rich Media,1,Neg,6
8520,U0001,F,62,1,6,Cat5_12,5,Rich Media,1,Neg,6
8640,U0001,F,62,1,6,Cat5_13,5,Rich Media,1,Neg,6
8760,U0001,F,62,1,6,Cat5_14,5,Rich Media,1,Neg,6
8880,U0001,F,62,1,6,Cat5_15,5,Rich Media,1,Neg,6
9000,U0001,F,62,1,6,Cat6_1,6,Text,1,Neg,6
9120,U0001,F,62,1,6,Cat6_2,6,Text,2,Neg,6
9240,U0001,F,62,1,6,Cat6_3,6,Text,1,Neg,6
9360,U0001,F,62,1,6,Cat6_4,6,Text,1,Neg,6
9480,U0001,F,62,1,6,Cat6_5,6,Text,1,Neg,6
9600,U0001,F,62,1,6,Cat6_6,6,Image,3,Neg,6
9720,U0001,F,62,1,6,Cat6_7,6,Image,1,Neg,6
9840,U0001,F,62,1,6,Cat6_8,6,Image,1,Neg,6
9960,U0001,F,62,1,6,Cat6_9,6,Image,1,Neg,6
10080,U0001,F,62,1,6,Cat6_10,6,Image,1,Neg,6
10200,U0001,F,62,1,6,Cat6_11,6,Rich Media,1,Neg,6
10320,U0001,F,62,1,6,Cat6_12,6,Rich Media,1,Neg,6
10440,U0001,F,62,1,6,Cat6_13,6,Rich Media,1,Neg,6
10560,U0001,F,62,1,6,Cat6_14,6,Rich Media,1,Neg,6
10680,U0001,F,62,1,6,Cat6_15,6,Rich Media,3,Neg,6
10800,U0001,F,62,1,6,Cat7_1,7,Text,1,Neg,6
10920,U0001,F,62,1,6,Cat7_2,7,Text,1,Neg,6
11040,U0001,F,62,1,6,Cat7_3,7,Text,1,Neg,6
11160,U0001,F,62,1,6,Cat7_4,7,Text,1,Neg,6
11280,U0001,F,62,1,6,Cat7_5,7,Text,1,Neg,6
11400,U0001,F,62,1,6,Cat7_6,7,Image,1,Neg,6
11520,U0001,F,62,1,6,Cat7_7,7,Image,1,Neg,6
11640,U0001,F,62,1,6,Cat7_8,7,Image,1,Neg,6
11760,U0001,F,62,1,6,Cat7_9,7,Image,1,Neg,6
11880,U0001,F,62,1,6,Cat7_10,7,Image,1,Neg,6
12000,U0001,F,62,1,6,Cat7_11,7,Rich Media,1,Neg,6
12120,U0001,F,62,1,6,Cat7_12,7,Rich Media,1,Neg,6
12240,U0001,F,62,1,6,Cat7_13,7,Rich Media,1,Neg,6
12360,U0001,F,62,1,6,Cat7_14,7,Rich Media,1,Neg,6
12480,U0001,F,62,1,6,Cat7_15,7,Rich Media,1,Neg,6
12600,U0001,F,62,1,6,Cat8_1,8,Text,1,Neg,6
12720,U0001,F,62,1,6,Cat8_2,8,Text,1,Neg,6
12840,U0001,F,62,1,6,Cat8_3,8,Text,2,Neg,6
12960,U0001,F,62,1,6,Cat8_4,8,Text,1,Neg,6
13080,U0001,F,62,1,6,Cat8_5,8,Text,1,Neg,6
13200,U0001,F,62,1,6,Cat8_6,8,Image,1,Neg,6
13320,U0001,F,62,1,6,Cat8_7,8,Image,1,Neg,6
13440,U0001,F,62,1,6,Cat8_8,8,Image,1,Neg,6
13560,U0001,F,62,1,6,Cat8_9,8,Image,1,Neg,6
13680,U0001,F,62,1,6,Cat8_10,8,Image,1,Neg,6
13800,U0001,F,62,1,6,Cat8_11,8,Rich Media,1,Neg,6
13920,U0001,F,62,1,6,Cat8_12,8,Rich Media,1,Neg,6
14040,U0001,F,62,1,6,Cat8_13,8,Rich Media,1,Neg,6
14160,U0001,F,62,1,6,Cat8_14,8,Rich Media,1,Neg,6
14280,U0001,F,62,1,6,Cat8_15,8,Rich Media,1,Neg,6
14400,U0001,F,62,1,6,Cat9_1,9,Text,1,Neg,6
14520,U0001,F,62,1,6,Cat9_2,9,Text,2,Neg,6
14640,U0001,F,62,1,6,Cat9_3,9,Text,1,Neg,6
14760,U0001,F,62,1,6,Cat9_4,9,Text,2,Neg,6
14880,U0001,F,62,1,6,Cat9_5,9,Text,1,Neg,6
15000,U0001,F,62,1,6,Cat9_6,9,Image,1,Neg,6
